"","scientificName","phylumid"
"1","Melanogrammus aeglefinus",1821
"2","Merluccius bilinearis",1821
"3","Squalus acanthias",1821
"4","Gadus morhua",1821
"5","Leucoraja ocellata",1821
"6","Myzopsetta ferruginea",1821
"7","Myoxocephalus octodecemspinosus",1821
"8","Clupea harengus",1821
"9","Calanus finmarchicus",1065
"10","Leucoraja erinaceus",1821
"11","Illex illecebrosus",51
"12","Puffinus gravis",1821
"13","Larus argentatus",1821
"14","Placopecten magellanicus",51
"15","Hippoglossoides platessoides",1821
"16","Homarus americanus",1065
"17","Urophycis chuss",1821
"18","Pollachius virens",1821
"19","Larus marinus",1821
"20","Scophthalmus aquosus",1821
"21","Hemitripterus americanus",1821
"22","Pseudopleuronectes americanus",1821
"23","Urophycis tenuis",1821
"24","Scomber scombrus",1821
"25","Megaptera novaeangliae",1821
"26","Zoarces americanus",1821
"27","Fulmarus glacialis",1821
"28","Morus bassanus",1821
"29","Helicolenus dactylopterus",1821
"30","Hippoglossina oblonga",1821
"31","Oceanites oceanicus",1821
"32","Amblyraja radiata",1821
"33","Alosa pseudoharengus",1821
"34","Clangula hyemalis",1821
"35","Doryteuthis pealeii",51
"36","Lophius americanus",1821
"37","Glyptocephalus cynoglossus",1821
"38","Rissa tridactyla",1821
"39","Balaenoptera physalus",1821
"40","Peprilus triacanthus",1821
"41","Argentina silus",1821
"42","Somateria mollissima",1821
"43","Centropages typicus",1065
"44","Xiphias gladius",1821
"45","Cancer borealis",1065
"46","Phycis chesteri",1821
"47","Brosme brosme",1821
"48","Cancer irroratus",1065
"49","Citharichthys arctifrons",1821
"50","Calonectris diomedea",1821
"51","Sebastes fasciatus",1821
"52","Thunnus albacares",1821
"53","Mola mola",1821
"54","Malacoraja senta",1821
"55","Ammodytes dubius",1821
"56","Cetorhinus maximus",1821
"57","Oceanodroma leucorhoa",1821
"58","Triglops murrayi",1821
"59","Metridia lucens lucens",1065
"60","Delphinus delphis",1821
"61","Anarhichas lupus",1821
"62","Puffinus griseus",1821
"63","Balaenoptera acutorostrata",1821
"64","Temora longicornis",1065
"65","Alle alle",1821
"66","Phocoena phocoena",1821
"67","Gavia immer",1821
"68","Leucopleurus acutus",1821
"69","Alca torda",1821
"70","Hippoglossus hippoglossus",1821
"71","Balaenoptera borealis",1821
"72","Dipturus laevis",1821
