Species,Individual,X,Y,Z,Length,Ration,Energy,Cost,Behavior,RMR,Active
1,1,16.194756129948995,85.71840767744142,129.02780076011484,129.5446313476132,0.0,20323.827688147376,48.11771657262887,2.0,48.11771657262887,20.0
1,2,16.660153623924568,77.01897744712919,141.50599272580305,220.5772713845217,0.0,102405.1608965304,170.40154298653084,2.0,170.40154298653084,20.0
1,3,73.12718595781347,97.86691697079853,146.78709168336158,151.86503172354134,0.0,33099.23784359223,60.199977024134924,2.0,60.199977024134924,20.0
1,4,11.821161697462534,4.762688925644842,119.55779312443664,42.944403998166734,0.0,675.6143340588096,4.824627537731286,2.0,4.824627537731286,20.0
1,5,43.58286495877003,76.06504177564499,154.60910329806836,81.8220647649865,0.0,5007.944629381083,16.93882127759838,2.0,16.93882127759838,20.0
1,6,81.97704358142595,44.81181974270944,169.5694890010962,181.63314861344935,0.0,56617.855425263515,91.96016929290407,2.0,91.96016929290407,20.0
1,7,45.90731366185716,72.35206708939971,128.43186885994172,205.06361490009013,0.0,82339.06490229774,139.0940358425098,2.0,139.0940358425098,20.0
1,8,48.078439197830825,7.023240075861336,114.41533081882974,111.68504303525737,0.0,12593.765333484656,39.14742265097141,2.0,39.14742265097141,20.0
1,9,60.98756692204172,11.793489714683448,159.83231202512962,136.40658963759796,0.0,23797.096521773925,43.6040528673628,2.0,43.6040528673628,20.0
1,10,6.577244469530996,67.21026984873933,143.66035045602203,91.3651944029954,0.0,6971.194363599215,25.474555304408067,2.0,25.474555304408067,20.0
1,11,76.79555804748433,16.992086815823537,152.0122219053933,31.426108845950264,0.0,241.5299939993133,1.9128389601753015,2.0,1.9128389601753015,20.0
1,12,91.60218476747445,87.09953811881367,160.31857555487034,112.38495198579895,0.0,13212.704053570016,29.653864152881848,2.0,29.653864152881848,20.0
1,13,43.75844394010815,43.310885671052745,94.51348403685367,53.98271646327682,0.0,1349.2209575953448,10.605196177584421,2.0,10.605196177584421,20.0
1,14,65.92564070701118,46.26448604756869,158.54493611535446,79.69463772804986,0.0,4603.924588293475,14.720591626757384,2.0,14.720591626757384,20.0
1,15,31.52133475191038,2.7440438594229732,166.77502292399907,117.26657288069387,0.0,15069.063587504626,31.460200581044077,2.0,31.460200581044077,20.0
1,16,67.23171710732716,89.08836948449338,135.23448133869314,115.69347925691673,0.0,14351.362933288927,37.98988130720537,2.0,37.98988130720537,20.0
1,17,58.956629574799315,59.44374531897284,129.88672373362104,248.83132059891062,0.0,147353.47906274814,229.31344947836226,2.0,229.31344947836226,20.0
1,18,26.639601377435785,94.05142031133306,197.32537351368353,213.6664437770146,0.0,93403.16671846384,124.30357777006631,2.0,124.30357777006631,20.0
