Species,Individual,X,Y,Z,Length,Ration,Energy,Cost,Behavior,RMR,Active
1,1,16.194756129948995,85.71840767744142,55.8660047650128,129.5446313476132,0.0,21182.281539258707,37.17695440688983,0.0,37.17695440688983,0.0
1,2,16.660153623924568,77.01897744712919,57.86694786178914,220.5772713845217,0.0,105405.03471394267,127.69097726361855,0.0,127.69097726361855,0.0
1,3,73.12718595781347,97.86691697079853,55.162280752968755,151.86503172354134,0.0,34204.53294914621,54.67205876232473,0.0,54.67205876232473,0.0
1,4,11.821161697462534,4.762688925644842,71.23874868391007,42.944403998166734,0.0,744.9837876460176,3.1337525129838206,0.0,3.1337525129838206,0.0
1,5,43.58286495877003,76.06504177564499,68.46319801310136,81.8220647649865,0.0,5287.4328142709755,12.695461314523534,0.0,12.695461314523534,0.0
1,6,81.97704358142595,44.81181974270944,29.407262899738427,181.63314861344935,0.0,58502.98611638787,94.59204243547296,0.0,94.59204243547296,0.0
1,7,45.90731366185716,72.35206708939971,79.50260182894539,205.06361490009013,0.0,84725.62383853257,100.3902358327958,0.0,100.3902358327958,0.0
1,8,48.078439197830825,7.023240075861336,1.0,111.68504303525737,0.0,13211.572504949107,47.96772550383104,0.0,47.96772550383104,0.0
1,9,60.98756692204172,11.793489714683448,33.25447395688269,136.40658963759796,0.0,24633.96115127456,49.79216431561721,0.0,49.79216431561721,0.0
1,10,6.577244469530996,67.21026984873933,93.9526071475249,91.3651944029954,0.0,7388.913972378254,15.859056799029842,0.0,15.859056799029842,0.0
1,11,76.79555804748433,16.992086815823537,3.598210655377528,31.426108845950264,0.0,275.6851202385534,2.3119486937925,0.0,2.3119486937925,0.0
1,12,91.60218476747445,87.09953811881367,39.185627489406244,112.38495198579895,0.0,13782.074920577605,27.504579530427723,0.0,27.504579530427723,0.0
1,13,43.75844394010815,43.310885671052745,13.688127565514648,53.98271646327682,0.0,1481.4957305851462,6.108852633207929,0.0,6.108852633207929,0.0
1,14,65.92564070701118,46.26448604756869,63.88077647856336,79.69463772804986,0.0,4865.783135592589,13.054054275708536,0.0,13.054054275708536,0.0
1,15,31.52133475191038,2.7440438594229732,59.39051207413242,117.26657288069387,0.0,15654.322307114284,31.435386112895415,0.0,31.435386112895415,0.0
1,16,67.23171710732716,89.08836948449338,35.49052678953742,115.69347925691673,0.0,15025.275047979803,30.68502224949001,0.0,30.68502224949001,0.0
1,17,58.956629574799315,59.44374531897284,39.43318633754337,248.83132059891062,0.0,151376.3158396194,179.50919386325754,0.0,179.50919386325754,0.0
