Species,Individual,X,Y,Z,Length,Ration,Energy,Cost,Behavior,Landscape,RMR,Active
1,1,8.536672127751599,60.58052433000925,44.5076149624182,87.79066976829675,0.0,6750.003734514457,16.2002568747142,0.0,19439.721961023373,16.2002568747142,0.0
1,3,80.73831774767464,63.74235776210031,29.449608699984807,56.85290811103349,0.0,1831.3700706734908,6.25984868480522,0.0,16201.460554787636,6.25984868480522,0.0
1,5,87.40326714389714,62.230062861231794,50.926905802880874,178.26655154381402,0.0,56569.75306924067,81.509099103804,0.0,17862.547884627544,81.509099103804,0.0
1,6,9.510270628812133,35.780183884503266,78.2409244622754,65.3380776334358,0.0,2781.5645045067313,7.760100090259688,0.0,21859.158903292726,7.760100090259688,0.0
1,7,85.96307137745114,27.778030384530993,87.57109828911135,143.26449166440983,0.0,29357.559625346352,47.06837160244659,0.0,21500.573777698217,47.06837160244659,0.0
1,8,20.181803949887367,60.817172492650315,65.23827697159838,148.55992580030636,27.867352862088204,32740.834134213183,74.28543105245024,0.0,20016.48365223567,59.79440756416439,3.6557360059528348
1,9,59.96553464379679,93.5174113244412,56.148247787410384,223.7821182087505,40.812562493447665,111937.98235598489,169.41601537433814,0.0,19049.839688066706,148.19348287774534,2.7777337628122916
1,10,23.80565389844922,10.600531638766341,39.65293943341398,222.75286112229804,0.0,110379.47108428257,147.9082966040438,0.0,17771.864053293066,147.9082966040438,0.0
1,11,2.1751485210710966,12.866272001747406,25.5061406728141,95.37562954619192,26.380509207801204,8665.970517632142,36.2643492457516,0.0,18883.20202969431,22.546484457694977,0.0
1,12,80.48162193516757,58.429585108160495,102.45041761107842,236.76492271719155,0.0,132596.2223327131,128.5787684864717,0.0,20731.200287722022,128.5787684864717,0.0
1,13,58.500594740608136,81.23107252897638,92.87205834271998,169.42300423263947,30.307622774753785,48571.27737328804,90.47091121641078,0.0,19695.32936377417,74.71094737353881,3.835214044061928
1,15,60.938431684589055,30.62311836408468,42.977122456702844,199.51652403163027,0.0,79302.81266955964,118.4175323483376,0.0,17995.385024285788,118.4175323483376,0.0
1,16,69.48388467752004,29.797639697839216,70.8628830764302,195.29432123052493,0.0,74379.07292495926,105.93102989022384,0.0,19478.67375458508,105.93102989022384,0.0
1,17,67.07164125111517,55.67461794551289,14.82096364387963,84.62123693020926,0.0,6042.52513159906,16.99325637550104,0.0,15444.91329142958,16.99325637550104,0.0
1,18,73.4578677102562,67.49492314332431,59.234251200744964,27.549977927386227,0.0,208.0306058430015,1.0740803123301643,0.0,20143.033968728145,1.0740803123301643,0.0
1,19,2.1751485210710966,12.866272001747406,25.5061406728141,74.14672716505657,23.65803628927001,4075.10639298806,24.94380763673499,0.0,20875.63005383121,12.641628766314586,0.0
1,20,36.95160861553857,2.0636741874254683,30.631116989278965,137.70392481361532,0.0,26060.382380635707,51.54659887416923,0.0,18077.64431974588,51.54659887416923,0.0
1,21,46.467824066412376,15.952567437642184,78.18621009223853,63.80666645964372,10.869604693829121,2592.778013260231,15.846459217710375,0.0,22332.80722722746,10.194264776919232,10.29617149713878
1,22,2.1751485210710966,12.866272001747406,25.5061406728141,202.14821365674183,43.27094688938194,82499.71903734056,149.1963653636962,0.0,19184.98176277293,126.69547298121762,0.0
1,23,89.96948022925976,51.64472052544631,60.083803855146925,242.66696926648882,0.0,142726.82207220115,173.10213497559096,0.0,18470.659354181247,173.10213497559096,0.0
