SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Pool1,sp1,Distribution,100,150,500,50,51.69610816,82.0896014,1,0,0
Pool2,sp2,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool3,sp3,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool4,sp4,Distribution,100,150,500,50,12.00496487,35.33702252,1,0,0
Pool5,sp5,Distribution,100,150,500,50,14.50747408,43.49384429,1,0,0
Pool6,sp6,Distribution,100,150,500,50,51.69610816,82.0896014,1,0,0
Pool7,sp7,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool8,sp8,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool9,sp9,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool10,sp10,Distribution,100,150,500,50,51.69610816,82.0896014,1,0,0
Pool11,sp11,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool12,sp12,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool13,sp13,Distribution,100,150,500,50,12.00496487,35.33702252,1,0,0
Pool14,sp14,Distribution,100,150,500,50,14.50747408,43.49384429,1,0,0
Pool15,sp15,Distribution,100,150,500,50,51.69610816,82.0896014,1,0,0
Pool16,sp16,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool17,sp17,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool18,sp18,Distribution,100,150,500,50,74.79205029,40.04126038,1,0,0
Pool19,sp19,Distribution,100,150,500,50,51.69610816,82.0896014,1,0,0
Pool20,sp20,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool21,sp21,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool22,sp22,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool23,sp23,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool24,sp24,Distribution,100,150,500,50,35.43597827,3.81738133,1,0,0
Pool25,sp25,Distribution,58,150,500,50,68.46312,3.81738133,1,0,0
Pool26,sp26,Distribution,69.1,150,500,53.57,35.43597827,3.81738133,1,0,0
Pool27,sp27,Distribution,26.9,150,500,11.19,35.43597827,3.81738133,1,0,0
