"","species_no","mu1","mu2","mu3","sigma1","sigma2","sigma3","lambda1","lambda2","lambda3"
"1",1,369.426623927468,589.095155987644,893.423447002681,36.3944559986363,51.6961081595414,82.0896014023631,0.157746874362442,0.667204130277366,0.175048995360192
"2",2,374.876702786067,507.740627821625,866.508769778377,40.7915104832657,35.4359782726038,3.8173813298104,0.281673333096552,0.506769370135573,0.211557296767875
"3",3,374.904828577756,503.134151133808,832.661703804189,2.19697420118041,74.7920502864628,40.0412603762932,0.409768708962179,0.410241355962954,0.179989935074867
"4",4,424.052756286517,645.176019580258,750.793502845311,28.1182970024282,12.0049648697702,35.3370225173933,0.436334144405191,0.252570715052361,0.311095140542448
"5",5,510.311485965955,633.135861083587,761.583700272046,66.1703135263833,14.5074740808615,43.4938442882114,0.335216932974245,0.368288854687064,0.296494212338691
"6",6,461.926837366573,566.306573721044,707.515129811584,30.8203983184836,36.6539809127005,50.9921612948772,0.397657405262081,0.0676213563927182,0.5347212383452
"7",7,435.657786642655,412.962505993389,705.901689837442,83.5262828704423,16.5959790879569,52.7506787510801,0.415560622484304,0.367022064681987,0.217417312833709
"8",8,410.62829861116,523.270196321259,738.264183036741,75.8134634005074,31.0276927694805,69.2404177102256,0.518335830289769,0.0351828656668737,0.446481304043357
"9",9,515.050684499885,643.756499678494,900.055858916133,81.1603229901217,4.77643445220434,53.1022772729686,0.507890275616395,0.246252013614217,0.245857710769388
"10",10,805.496885431085,528.698702472378,494.471714558086,12.7740484789611,7.78547896967738,122.955281867594,0.155681010264422,0.327255918371242,0.517063071364336
"11",11,423.611054617393,571.100303616848,865.517532726298,99.6388828946567,38.3146400782187,14.2946901156118,0.650838926196957,0.207972331952458,0.141188741850586
"12",12,441.96554200394,500.733929886116,772.477219512858,9.01097940737104,11.5110176755768,87.5343550551298,0.245249419914223,0.287909877393481,0.466840702692297
"13",13,418.668629711979,566.279622805618,874.066572393177,45.601556621993,58.8462533638824,67.4148397643492,0.533888957393637,0.12874078351926,0.337370259087103
"14",14,896.982090254431,471.397726793414,579.043584402715,46.2125685135242,75.4824899883136,76.4819831377397,0.200659992143747,0.38430133259594,0.415038675260313
"15",15,325.394985681248,581.499721280147,853.704713790075,57.5446139616761,72.69153430056,3.45741027030557,0.348514906376587,0.525680275856898,0.125804817766515
"16",16,361.261964206223,570.226253643377,824.86743431182,108.772200075099,22.8052042721493,20.7834763537705,0.200211117619728,0.386207392251917,0.413581490128355
"17",17,431.503324308386,682.694472563779,766.13178433349,79.2579735814254,87.4921096452666,12.0091028067804,0.415666895015085,0.367485557668579,0.216847547316335
"18",18,383.710377649371,514.5893329468,779.744747181678,56.2083093238152,5.04681103821939,125.422470302149,0.483019012086405,0.189220282142676,0.327760705770918
"19",19,302.332249283332,482.464100752853,717.141255587834,30.2230113737376,69.6997705422126,88.0650188125623,0.187587822070536,0.34373541566098,0.468676762268484
"20",20,387.235456523604,574.869236788644,710.110478442678,27.6584873322675,1.24661220809302,106.690198696126,0.194402441134356,0.296006111416296,0.509591447449349
"21",21,468.489660239522,551.614363565671,806.697083716631,67.1008270576763,34.4008675243069,56.6602332455912,0.478391043598982,0.401983905769983,0.119625050631035
"22",22,794.411003155843,580.597425413497,399.63583824723,83.5546526633743,35.96546737554,51.8607571345011,0.318528931580842,0.264040911066059,0.417430157353099
