SpeciesLong,SpeciesShort,Type,mu1,mu2,mu3,sigma1,sigma2,sigma3,lambda1,lambda2,lambda3
Pool3,sp3,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool4,sp4,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool5,sp5,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool6,sp6,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool7,sp7,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool8,sp8,Distribution,250,500,750,200,200,200,0.6,0.3,0.1
Pool9,sp9,Distribution,50,0,0,50,0,0,1,0,0
Pool10,sp10,Distribution,50,0,0,50,0,0,1,0,0
Pool11,sp11,Distribution,50,0,0,50,0,0,1,0,0
Pool12,sp12,Distribution,50,0,0,50,0,0,1,0,0
Pool13,sp13,Distribution,50,0,0,50,0,0,1,0,0
Species1,sp1,Distribution,250,500,750,200,200,200,0.34,0.33,0.33
Species2,sp2,Distribution,100,400,800,100,200,200,0.1,0.6,0.4
Species3,sp3,Distribution,250,500,750,200,200,200,0.34,0.33,0.33
Species4,sp4,Distribution,100,400,800,100,0,0,0.1,0.6,0.4
Species17,sp17,Distribution,100,0,0,100,0,0,1,0,0
Species18,sp18,Distribution,100,0,0,100,0,0,1,0,0
Species19,sp19,Distribution,100,0,0,100,0,0,1,0,0
Species20,sp20,Distribution,100,0,0,100,0,0,1,0,0
Species21,sp21,Distribution,100,0,0,100,0,0,1,0,0
Species22,sp22,Distribution,100,0,0,100,0,0,1,0,0
Species23,sp23,Distribution,100,0,0,100,0,0,1,0,0
Species24,sp24,Distribution,100,0,0,100,0,0,1,0,0
Species25,sp25,Distribution,100,0,0,100,0,0,1,0,0
Species26,sp26,Distribution,100,0,0,100,0,0,1,0,0
Species27,sp27,Distribution,100,0,0,100,0,0,1,0,0
Species28,sp28,Distribution,100,0,0,100,0,0,1,0,0
Pool4,sp29,Distribution,250,500,750,200,200,200,0.3,0.3,0.3
